host;consumer_group;time;cpu;dbtime;iowait;oth_wait;pxqry;pxqtime;pxrel;read;reqs;sys_actsess_max;sys_cpu;sys_iowait;sys_oswait;sys_pga;sys_pxqct;sys_pxruns;sys_pxsrvt;sys_read;sys_redo;sys_rmwait;sys_syspct;sys_write;write;yields
1;adw_unload_group;2018-11-02 00:00:00;0.17345597897503287;0.26747720364741645;0.04455869751499572;0.04227941176470588;0.010638297872340427;0.0;0.012691869610023323;0.6021098228687835;0.017631878146938337;0.26690151631183945;0.46320868516284686;0.5259467040673212;0.03723404255319149;0.07290104453107718;0.4797297297297298;0.04365220867479512;0.40888638920134984;0.5684107698882717;0.25123152709359603;0.27049180327868855;0.37451737451737444;0.07406320320907933;0.07509681089241046;0.006518628163889543
1;adw_unload_group;2018-11-02 03:00:00;0.03153745072273325;0.030395136778115502;0.003427592116538132;0.009191176470588236;0.003546099290780142;0.0;0.0030373705049628465;0.027474649561905047;0.0035372038042987856;0.1675294838413233;0.30880579010856457;0.13323983169705472;0.03191489361702128;0.31559977838975395;0.10810810810810811;0.01602078752748351;0.13217097862767155;0.1413744079963019;0.3339901477832512;0.028688524590163935;0.24710424710424708;0.19078368065746987;0.001349153679543184;0.0005589613669710763
1;adw_unload_group;2018-11-02 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018588366930753825;0.2556287333435442;0.4185765983112184;0.12482468443197756;0.0425531914893617;0.03985027102608385;0.057432432432432436;0.01508694783130122;0.09805024371953507;0.13260882837780086;0.5970443349753695;0.004098360655737705;0.362934362934363;0.2579004011349183;0.0;0.0
1;adw_unload_group;2018-11-02 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004168847340780712;0.26592127431459633;0.4101326899879373;0.16129032258064518;0.04787234042553192;0.04658381311681012;0.10135135135135134;0.012445332800319809;0.16572928383952007;0.4101942382667702;0.6827586206896552;0.012295081967213116;0.36679536679536673;0.2909695724488798;0.0;5.175568212695151e-06
1;adw_unload_group;2018-11-02 12:00:00;0.14980289093298294;0.196048632218845;0.19880034275921166;0.04779411764705883;0.0010131712259371835;0.0;0.0033628030590660083;0.03722860453316571;0.00896933821804335;0.29900444172154994;0.5066344993968637;0.37727910238429174;0.05851063829787234;0.3659694332094724;0.25;0.010417749350389768;0.31908511436070486;0.05158172921772654;0.755665024630542;0.0;0.5096525096525096;0.30085118872908717;0.7228473706088694;0.007584795215704744
1;adw_unload_group;2018-11-02 15:00:00;0.03153745072273325;0.025835866261398176;0.006855184233076264;0.0055147058823529415;0.007598784194528876;0.0;0.006834083636166405;0.07386651924664328;0.007507534605042321;0.2585694593352734;0.3015681544028951;0.17812061711079946;0.03723404255319149;0.07261489943318919;0.14527027027027029;0.01032180691585049;0.18372703412073493;0.07479089077477259;0.6453201970443351;0.0;0.2934362934362934;0.28695822326582526;0.004328230858426377;0.0007970375047550533
1;adw_unload_group;2018-11-02 18:00:00;0.04007884362680683;0.029635258358662615;0.006855184233076264;0.01011029411764706;0.006585612968591692;0.0;0.005966263491891306;0.08741830684064246;0.008400859035209617;0.14109358247817427;0.24065138721351034;0.23211781206171114;0.03324468085106383;0.002242484632384731;0.07347972972972974;0.009712572456526085;0.08905136857892765;0.05045005364011409;0.5349753694581281;0.0;0.26737451737451734;0.2665590451032189;0.005947215273878197;0.0009121938974875203
1;adw_unload_group;2018-11-02 21:00:00;0.03153745072273325;0.02127659574468085;0.006855184233076264;0.0036764705882352945;0.009625126646403243;0.0;0.007376471226338341;0.07494187763633195;0.01008824962552562;0.09278603155153928;0.10615199034981909;0.3576437587657785;0.015957446808510637;0.04914186911601459;0.0641891891891892;0.00982930241854887;0.11736032995875516;0.057207399719152584;0.23349753694581282;0.0;0.1274131274131274;0.03845024948635162;0.007289076230829256;0.000584839208034552
1;adw_unload_group;2018-11-03 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007796285936005486;0.1414305406647266;0.26537997587454765;0.16129032258064518;0.02659574468085106;0.1503885282197919;0.44932432432432434;0.042526484109534274;0.31271091113610794;0.1109347335002137;0.3379310344827586;0.024590163934426233;0.21235521235521235;0.11613345073867526;0.0;2.5877841063475755e-06
1;adw_unload_group;2018-11-03 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008193319016079842;0.09094807780670852;0.12424607961399278;0.04908835904628332;0.021276595744680847;0.2558674965550971;0.13513513513513511;0.010129922046771938;0.17904011998500188;0.0017792818330091666;0.3339901477832512;0.0;0.13899613899613897;0.16984639467762447;0.0;0.0
