HOST, SNAP_ID, TIME, SYS_CPU, SYS_DBTIME, SYS_SYSPCT, SYS_READ, SYS_WRITE, SYS_REDO, SYS_OSWAIT, SYS_RMWAIT, SYS_ACTSESS_MAX, SYS_ACTSESS_AVG, SYS_PGA, SYS_PXRUNS, SYS_PXQCT, SYS_PXSRVT, SYS_UCALLS, SYS_IOWAIT
1, 127731, 06/12/2018 23:59:44, 55.9, 67.7, 17.8, 1776.2, 310.9, 68.1, 1.3, 0, 215.9, 173.3, 17830.9, 219, 6.4, 168.3, 153.1, 22.7
1, 127732, 07/12/2018 00:19:44, 54.9, 79.5, 16.5, 3139.5, 325.6, 66.6, 1.4, 9.7, 301.1, 203.4, 19490.8, 207.1, 11.7, 219.1, 151.6, 22.8
1, 127733, 07/12/2018 00:39:44, 51.5, 99.8, 14.4, 11378.1, 240.5, 40.9, 1.3, 20, 330.7, 255.6, 14932, 213, 21.1, 291.9, 119, 19.5
1, 127734, 07/12/2018 00:59:43, 67.8, 125.6, 18.1, 4995, 274.2, 40.1, 2.6, 5.7, 419.7, 321.5, 22824.9, 792.5, 25.1, 368.1, 120.3, 21.6
1, 127735, 07/12/2018 01:19:43, 60.6, 77.9, 17.8, 3233.8, 296.6, 42.8, 1.3, 1.6, 254.2, 199.4, 18603.2, 530.7, 17.1, 238.7, 170.7, 20.9
1, 127736, 07/12/2018 01:39:44, 36.5, 72.2, 11.1, 1141.8, 211.1, 31.9, 0.9, 2.3, 321.4, 184.7, 12961.4, 549.5, 12.4, 149.3, 133.5, 15.3
1, 127737, 07/12/2018 01:59:43, 47.6, 64.8, 11.9, 3146.7, 215.2, 42.3, 0.9, 5, 227.2, 166, 15471.1, 784.7, 12.2, 183.7, 99.4, 10.5
1, 127738, 07/12/2018 02:19:43, 43, 50.8, 10.5, 6439.4, 162.3, 34.2, 0.8, 1.1, 187.6, 130, 31378.5, 719.1, 12.6, 202.6, 62.4, 6.8
1, 127739, 07/12/2018 02:39:43, 63.8, 77.4, 11.8, 5692.7, 146.4, 24.6, 1.1, 0.9, 262.3, 198.2, 28903, 563.2, 17.2, 300.5, 59.5, 5.1
1, 127740, 07/12/2018 02:59:43, 33.4, 71.2, 7.3, 4195.9, 224.7, 24.3, 0.6, 0.8, 316, 182.2, 22960.1, 221.2, 12.7, 202.7, 45.1, 7
1, 127741, 07/12/2018 03:19:43, 23.1, 90.5, 7.2, 645.4, 173, 28.8, 0.6, 0, 401.3, 231.7, 22549, 196.1, 7.6, 102.8, 82, 40.7
1, 127742, 07/12/2018 03:39:43, 37.5, 59.7, 10.1, 2668.1, 260.8, 38.9, 0.8, 0.1, 284.8, 152.7, 16415.8, 288.1, 8.6, 160.5, 87.6, 11.4
1, 127743, 07/12/2018 03:59:43, 28.1, 51.9, 8.3, 358.4, 292.5, 36.5, 0.7, 0, 210.9, 133, 39396.4, 181.5, 3, 50.7, 90.9, 6.2
1, 127744, 07/12/2018 04:19:43, 30.9, 33.1, 9, 322.8, 476.1, 38, 0.8, 0, 127.7, 84.8, 39374, 163.8, 2.1, 35.2, 88.6, 7.3
1, 127745, 07/12/2018 04:40:43, 35.3, 51.4, 9.3, 1309.9, 468.3, 30.2, 0.8, 0.4, 189.8, 131.6, 43382.4, 236.8, 4.9, 119.4, 71.4, 7.8
1, 127746, 07/12/2018 04:59:42, 27.3, 57.2, 8.2, 505.3, 313.6, 24.1, 0.7, 0, 244.1, 146.6, 43511.8, 151, 4, 94.4, 62.7, 8.9
1, 127747, 07/12/2018 05:19:43, 27.2, 40, 9.2, 421.4, 192.5, 34, 0.8, 0, 204.8, 102.5, 39339.7, 154.3, 2.2, 38.3, 81.6, 8.1
1, 127748, 07/12/2018 05:39:42, 32.7, 62.1, 9.9, 1835.8, 214, 37.3, 0.8, 0, 270.1, 158.9, 41189.5, 272, 4.8, 87.5, 97.4, 6.8
1, 127749, 07/12/2018 05:59:43, 45.9, 75, 12.5, 767.8, 317.1, 48, 1, 0, 303.2, 192.1, 23371.9, 232.2, 5.1, 111, 140.5, 9.1
1, 127750, 07/12/2018 06:19:42, 30.2, 45.8, 8.4, 272.5, 256.7, 38.2, 0.7, 0, 201.7, 117.2, 10614.8, 171.8, 3.2, 42.5, 99.8, 5.4
1, 127751, 07/12/2018 06:39:42, 31.1, 43.8, 9.3, 1920.4, 259.6, 44.7, 0.8, 0.3, 246, 112, 10671.5, 289, 2.7, 44.8, 153.6, 4.2
1, 127752, 07/12/2018 06:59:42, 40.3, 43.8, 12.5, 90.8, 340.4, 64.5, 1.1, 0, 144, 112.2, 11925.9, 168.4, 2.1, 19.1, 189.1, 7.1
1, 127753, 07/12/2018 07:19:42, 45.7, 55.8, 14.5, 1086.9, 347.3, 59.1, 1.2, 0.3, 204, 143, 12703.3, 251.5, 3.1, 36.9, 154.8, 15.7
1, 127754, 07/12/2018 07:39:42, 52.2, 78.4, 15, 936.3, 399.7, 79.5, 1.2, 0, 285.7, 200.6, 10622.7, 241, 2.6, 41.1, 167.7, 10
1, 127755, 07/12/2018 07:59:42, 48.1, 91.8, 12.9, 208.2, 398.7, 74, 1, 0, 332.5, 235, 11868.1, 145.4, 5, 54.7, 132.9, 12.7
1, 127756, 07/12/2018 08:19:42, 47.7, 71.6, 14.3, 146.3, 396.2, 78.2, 1.1, 0, 255, 183.3, 11516.6, 152.7, 4.1, 38.9, 155.3, 13.9
1, 127757, 07/12/2018 08:39:42, 31.9, 88.4, 9.8, 1533.3, 257.2, 46, 0.8, 0, 394.6, 226.2, 12463.1, 531.7, 4.1, 82.5, 111.5, 9.7
1, 127758, 07/12/2018 08:59:42, 32.9, 60.5, 10.9, 808.6, 298.5, 58.9, 1, 0, 277.2, 155, 16830.2, 184, 3.5, 64.7, 134.1, 14.2
1, 127759, 07/12/2018 09:19:42, 31.6, 63, 10.2, 16321.5, 304.1, 60.5, 0.9, 0, 286.3, 161.2, 20060.4, 154.2, 4.8, 104.3, 134.6, 12.3
1, 127760, 07/12/2018 09:39:42, 31.9, 67.2, 10.3, 534.9, 305.4, 61.7, 0.9, 1.4, 298.4, 172.1, 18082.6, 232.5, 6.1, 126.2, 128.5, 11.6
1, 127761, 07/12/2018 09:59:41, 64.5, 104.7, 15.8, 20263.4, 417.1, 60.2, 1.4, 0.2, 431, 268, 26601.7, 236.8, 10.1, 262.7, 117.7, 14.8
