time;host;consumer_group;cpu;pxqtime;iowait;oth_wait;reqs
2018-11-02 00:00:00;1;adw_unload_group;0.13080858608998266;0.0014355688871945048;0.04197021164739378;0.026755942219562463;0.011137237862582154
2018-11-02 02:00:00;1;adw_unload_group;0.130977958399776;0.0014702889822893553;0.042022546597794225;0.02679575029448933;0.011134033634648944
2018-11-02 04:00:00;1;adw_unload_group;0.1311473307095693;0.0015050090773842055;0.042074881548194665;0.02683555836941619;0.011130829406715734
2018-11-02 06:00:00;1;adw_unload_group;0.13131670301936263;0.0015397291724790559;0.04212721649859511;0.026875366444343057;0.011127625178782524
2018-11-02 08:00:00;1;adw_unload_group;0.13148607532915593;0.001574449267573906;0.04217955144899555;0.026915174519269922;0.011124420950849314
2018-11-02 10:00:00;1;adw_unload_group;0.13165544763894926;0.0016091693626687565;0.042231886399396;0.026954982594196788;0.011121216722916103
2018-11-02 12:00:00;1;adw_unload_group;0.1318248199487426;0.001643889457763607;0.04228422134979644;0.02699479066912365;0.011118012494982893
2018-11-02 14:00:00;1;adw_unload_group;0.1319941922585359;0.0016786095528584571;0.042336556300196886;0.027034598744050516;0.011114808267049681
2018-11-02 16:00:00;1;adw_unload_group;0.13216356456832923;0.0017133296479533075;0.042388891250597326;0.02707440681897738;0.011111604039116471
2018-11-02 18:00:00;1;adw_unload_group;0.13233293687812256;0.0017480497430481577;0.04244122620099777;0.027114214893904243;0.011108399811183261
2018-11-02 20:00:00;1;adw_unload_group;0.13250230918791586;0.0017827698381430081;0.04249356115139821;0.02715402296883111;0.01110519558325005
2018-11-02 22:00:00;1;adw_unload_group;0.1326716814977092;0.0018174899332378583;0.04254589610179866;0.027193831043757975;0.01110199135531684
2018-11-03 00:00:00;1;adw_unload_group;0.1328410538075025;0.0018522100283327088;0.0425982310521991;0.02723363911868484;0.01109878712738363
2018-11-03 02:00:00;1;adw_unload_group;0.13301042611729583;0.0018869301234275592;0.042650566002599546;0.027273447193611702;0.01109558289945042
2018-11-03 04:00:00;1;adw_unload_group;0.13317979842708916;0.0019216502185224094;0.04270290095299999;0.027313255268538568;0.01109237867151721
2018-11-03 06:00:00;1;adw_unload_group;0.13334917073688246;0.0019563703136172596;0.04275523590340043;0.027353063343465434;0.011089174443584
2018-11-03 08:00:00;1;adw_unload_group;0.1335185430466758;0.00199109040871211;0.04280757085380088;0.0273928714183923;0.01108597021565079
2018-11-03 10:00:00;1;adw_unload_group;0.13368791535646912;0.0020258105038069604;0.04285990580420132;0.02743267949331916;0.01108276598771758
2018-11-03 12:00:00;1;adw_unload_group;0.13385728766626243;0.0020605305989018106;0.04291224075460177;0.027472487568246027;0.011079561759784369
2018-11-03 14:00:00;1;adw_unload_group;0.13402665997605576;0.0020952506939966612;0.04296457570500221;0.027512295643172893;0.011076357531851159
2018-11-03 16:00:00;1;adw_unload_group;0.13419603228584906;0.0021299707890915114;0.043016910655402654;0.027552103718099755;0.011073153303917947
2018-11-03 18:00:00;1;adw_unload_group;0.1343654045956424;0.0021646908841863616;0.043069245605803094;0.02759191179302662;0.011069949075984737
2018-11-03 20:00:00;1;adw_unload_group;0.13453477690543572;0.0021994109792812123;0.04312158055620354;0.027631719867953486;0.011066744848051526
2018-11-03 22:00:00;1;adw_unload_group;0.13470414921522902;0.0022341310743760625;0.04317391550660398;0.02767152794288035;0.011063540620118316
2018-11-04 00:00:00;1;adw_unload_group;0.13487352152502236;0.0022688511694709127;0.04322625045700443;0.027711336017807214;0.011060336392185106
2018-11-04 02:00:00;1;adw_unload_group;0.13504289383481569;0.002303571264565763;0.04327858540740487;0.02775114409273408;0.011057132164251896
2018-11-04 04:00:00;1;adw_unload_group;0.135212266144609;0.0023382913596606135;0.043330920357805315;0.027790952167660945;0.011053927936318686
2018-11-04 06:00:00;1;adw_unload_group;0.13538163845440232;0.0023730114547554637;0.04338325530820576;0.027830760242587807;0.011050723708385475
2018-11-04 16:00:00;1;adw_unload_group;0.13622850000336892;0.002546611930229715;0.043644930060207976;0.02802980061722213;0.011034702568719424
2018-11-04 18:00:00;1;adw_unload_group;0.13639787231316225;0.0025813320253245658;0.04369726501060842;0.028069608692148997;0.011031498340786214
2018-11-04 20:00:00;1;adw_unload_group;0.1365672446899241;0.0026160521877678375;0.04374959992796317;0.028109416725073392;0.011028293728375634
2018-11-04 22:00:00;1;adw_unload_group;0.13673661706668594;0.0026507723502111093;0.04380193484531792;0.028149224757997787;0.011025089115965054
2018-11-05 00:00:00;1;adw_unload_group;0.13690598944344778;0.002685492512654381;0.04385426976267267;0.02818903279092218;0.011021884503554475
2018-11-05 02:00:00;1;adw_unload_group;0.13707536182020963;0.0027202126750976528;0.04390660468002742;0.02822884082384658;0.011018679891143895
2018-11-05 04:00:00;1;adw_unload_group;0.13724473419697147;0.0027549328375409245;0.04395893959738217;0.028268648856770974;0.011015475278733314
2018-11-05 06:00:00;1;adw_unload_group;0.13741410657373332;0.0027896529999841962;0.044011274514736916;0.02830845688969537;0.011012270666322734
2018-11-05 08:00:00;1;adw_unload_group;0.13758347895049516;0.002824373162427468;0.044063609432091665;0.028348264922619763;0.011009066053912156
2018-11-05 10:00:00;1;adw_unload_group;0.137752851327257;0.0028590933248707397;0.04411594434944641;0.028388072955544158;0.011005861441501575
2018-11-05 12:00:00;1;adw_unload_group;0.13792222370401885;0.0028938134873140115;0.04416827926680116;0.028427880988468556;0.011002656829090995
2018-11-05 14:00:00;1;adw_unload_group;0.1380915960807807;0.0029285336497572832;0.04422061418415591;0.02846768902139295;0.010999452216680415
